question_nl,option1_nl,option2_nl,option3_nl,reason_nl,image_nl
Mag je langs het fietspad stilstaan om een passagier te laten uitstappen?,Ja,Nee,,"
                    Je mag niet langs of op het fietspad parkeren of stilstaan.
                ",https://www.alrawitheorie.nl/storage/images/exam18_q33_image-id-52.jpg
Wat doet u? U en de vrachtwagen willen uitvoegen van de snelweg.,Haal de vrachtwagen vanaf de linkerkant in en ga voor de vrachtwagen staan.,Haal de vrachtwagen aan de rechterkant en verlaat de snelweg.,Blijf achter de truck en verlaat de afrit.,"
                    De vrachtwagen rijdt met 80 km / u. Blijf achter de truck om de snelweg te verlaten. Niet inhalen, want u kunt in de dode hoek van de vrachtwagen komen en een ongeluk veroorzaken.
                ",https://www.alrawitheorie.nl/storage/images/exam16_q41_image.jpg
Bij welke rotonde moet je de voetganger voor laten gaan?,Bij beiden,Rotonde 1,Rotonde 2,"
                    Bij beide rotondes. De voetganger loopt rechtdoor op de beide rotondes en de auto wil afslaan. (rechtdoorgaand verkeer heeft voorrang op afslaand verkeer op dezelfde weg)
                ",https://www.alrawitheorie.nl/storage/questions/November2021/xn2W3FGrGQSP57B5FZa8.jpg
"Wanneer een aanhangwagen geen losbreekreminrichting heeft, moet er dan een hulpkoppeling aanwezig zijn?",Ja,Nee,,"
                    Een losbreekreminrichting dient als veiligheidsmiddel om bij het losraken van de aanhangwagen van het trekkend voertuig in werking te treden. Hiermee wordt getracht om de losbrekende aanhangwagen te stoppen. De hulpkoppeling (staalkabel) van aanhangwagens zodanig met een vast deel van het trekkend voertuig aan de trekhaak verbonden zijn, zodat dit slechts in werking treed na het losraken van de aanhangwagenkoppeling. De staalkabel moet ervoor zorgen dat de aanhangwagen de grond niet raakt.
                ",https://www.alrawitheorie.nl/storage/images/exam1000_q41_image-id-55_K38STMI4QNG4U.jpg
Wordt het brandstofverbruik meer als je lading op je auto vervoert?,Ja,Nee,,"
                    Ja, De luchtweerstand wordt hoger en het gewicht van de auto is toe genomen, daarom heeft de motor meer energie nodig.
                ",https://www.alrawitheorie.nl/storage/questions/October2021/dCxNZlSIFl5wBrBOSqMO.jpg
"Je sleept een caravan, wat moet je doen om goed te kunnen zien wat achter je gebeurt?",Extra zijspiegels met langere arm installeren.,De zijspiegels goed afstellen.,Camera's aan de zijkanten installeren.,"
                    Je moet een extra spiegel met langere arm aan beide kanten van je auto installeren. Dit is noodzakelijk omdat de caravan breder is dan je auto waardoor je niet goed zicht hebt op wat er achter je gebeurt.
                ",https://www.alrawitheorie.nl/storage/questions/October2021/vUBoxHsAQrpWImdG71Lz.jpg
Mag je hier rechts afslaan?,Ja,Nee,,"
                    Nee. Je mag hier niet rechts/links afslaan want dit is een busbaan uitsluitend voor bus, bevoegd verkeer en in sommige gemeenten ook taxi's.
                ",https://www.alrawitheorie.nl/storage/images/exam17_q44_image.jpg
Mag je tijdens het rijden een bluetooth-headset gebruiken?,Nee,Ja,,"
                    Ja. Je mag tijdens het rijden een bluetooth-headset gebruiken, maar hou er rekening mee dat dit een negatief effect op je concentratievermogen kan hebben.
                ",https://www.alrawitheorie.nl/storage/images/exam17_q45_image-id-51_K36VRK53T1BMG.jpg
"Je wil rechtdoor, is het verstandig om op de linker rijstrook te rijden?",Ja,Nee,,"
                    Nee. Rij maar op de rechterrijstrook bij de eerste twee afslagen en op de linker rijstrook bij de derde afslag. (dit is beter voor het doorstromen)
                ",https://www.alrawitheorie.nl/storage/questions/November2021/PCzPUr1wJ28ReMkHMm8G.jpg
Kan je een motorfiets op de autoweg verwachten ?,Nee,Ja,,"
                    Ja. Voertuigen die minimaal 50 km/u kunnen mogen op de autoweg rijden.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/3plSYn3X5KlI98dvuXuN.jpg
Wat moet je doen als het verkeerslicht het niet doet?,Houd je aan de verkeersborden en wegmarkeringen.,In dit geval heb jij altijd voorrang.,Je moet altijd voorrang geven aan anderen.,"
                    Als de verkeerslichten buiten werking zijn, worden de regels gehanteerd afhankelijk van de verkeersborden of de wegmarkeringen.
                ",https://www.alrawitheorie.nl/storage/images/exam8_q50_image-id-41_K36ZEI4HQ7JSL.jpg
Welke van deze borden geeft aan dat er slipgevaar is?,Bord 1,Bord 2,Beide,"
                    Bij beide borden is er slipgevaar.
                ",https://www.alrawitheorie.nl/storage/images/exam17_q49_image.jpg